Key,en,hi,ar,es
Dashboard,Dashboard,डैशबोर्ड,لوحة القيادة,Panel
Language,Language,भाषा,لغة,Idioma
Information,Information,जानकारी,معلومة,Información
Language Information,Language Information,भाषा संबंधी जानकारी,معلومات اللغة,Información de idioma
Language Manager,Language Manager,भाषा प्रबंधक,مدير اللغة,Administrador de idiomas
Language created successfully!,Language created successfully!,भाषा सफलतापूर्वक बनाई गई!,تم إنشاء اللغة بنجاح!,¡Idioma creado exitosamente!
User dashboard data fetch successfully!,User dashboard data fetch successfully!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक प्राप्त हुआ!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,¡Los datos del panel de usuario se recuperaron correctamente!
Something went wrong! Please try again,Something went wrong! Please try again,कुछ गलत हो गया! कृपया पुन: प्रयास करें,هناك خطأ ما! حاول مرة اخرى,¡Algo salió mal! Inténtalo de nuevo
Logout success!,Logout success!,लॉगआउट सफलता!,نجاح تسجيل الخروج!,¡Cerrar sesión exitosamente!
active,active,सक्रिय,نشيط,activo
Setup Section,Setup Section,सेटअप अनुभाग,قسم الإعداد,Sección de configuración
Tags,Tags,टैग,العلامات,Etiquetas
submit,submit,जमा करना,يُقدِّم,entregar
Update,Update,अद्यतन,تحديث,Actualizar
Daily Schedules,Daily Schedules,दैनिक शैड्यूल,جداول اليومية,Horarios diarios
Schedule Edit,Schedule Edit,शेड्यूल संपादित करें,جدولة التحرير,Editar horario
Banner Section,Banner Section,बैनर अनुभाग,قسم البانر,Sección de pancartas
About Section,About Section,अनुभाग के बारे में,حول القسم,Acerca de la sección
Contact Section,Contact Section,संपर्क अनुभाग,قسم الاتصال,Sección de contacto
Team Section,Team Section,टीम अनुभाग,قسم الفريق,Sección de equipo
Video Section,Video Section,वीडियो अनुभाग,قسم الفيديو,Sección de Vídeo
Gallery Section,Gallery Section,गैलरी अनुभाग,قسم المعرض,Sección de galería
Testimonial Section,Testimonial Section,प्रशंसापत्र अनुभाग,قسم الشهادة,Sección de testimonios
Setup Announcement Category,Setup Announcement Category,सेटअप घोषणा श्रेणी,فئة إعلان الإعداد,Categoría de anuncio de configuración
Announcement Section,Announcement Section,घोषणा अनुभाग,قسم الإعلان,Sección de anuncios
Announcement Edit,Announcement Edit,घोषणा संपादित करें,تحرير الإعلان,Anuncio Editar
Footer Section,Footer Section,पाद अनुभाग,قسم التذييل,Sección de pie de página
Auth Section,Auth Section,प्रामाणिक अनुभाग,قسم المصادقة,Sección de autenticación
Category,Category,वर्ग,فئة,Categoría
label,label,लेबल,ملصق,etiqueta
Name,Name,नाम,اسم,Nombre
Description,Description,विवरण,وصف,Descripción
Image,Image,छवि,صورة,Imagen
Title,Title,शीर्षक,عنوان,Título
Defaults,Defaults,चूक,الافتراضيات,Valores predeterminados
Contact Messages,Contact Messages,संपर्क संदेश,رسائل الاتصال,Mensajes de contacto
Subscribers,Subscribers,ग्राहकों,مشتركين,Suscriptores
Schedules,Schedules,अनुसूचियों,جداول,Horarios
Schedule Days,Schedule Days,दिन निर्धारित करें,أيام الجدول الزمني,Programar días
Interface Panel,Interface Panel,इंटरफ़ेस पैनल,لوحة الواجهة,Panel de interfaz
User Care,User Care,उपयोगकर्ता देखभाल,رعاية المستخدم,Atención al usuario
Active Users,Active Users,सक्रिय उपयोगकर्ता,المستخدمين النشطين,Usuarios activos
Email Unverified,Email Unverified,ईमेल असत्यापित,لم يتم التحقق من البريد الإلكتروني,Correo electrónico no verificado
All Users,All Users,सभी उपयोगकर्ता,جميع المستخدمين,Todos los usuarios
Email to Users,Email to Users,उपयोगकर्ताओं को ईमेल करें,البريد الإلكتروني للمستخدمين,Correo electrónico a los usuarios
Banned Users,Banned Users,प्रतिबंधित उपयोगकर्ता,المستخدمون المحظورون,Usuarios prohibidos
Admin Care,Admin Care,व्यवस्थापक देखभाल,رعاية المشرف,Atención administrativa
All Admin,All Admin,सभी व्यवस्थापक,كل المشرف,Todos los administradores
Admin Role,Admin Role,व्यवस्थापक भूमिका,دور المشرف,Rol de administrador
Role Permission,Role Permission,भूमिका की अनुमति,إذن الدور,Permiso de rol
Email to Admin,Email to Admin,व्यवस्थापक को ईमेल करें,البريد الإلكتروني إلى المشرف,Enviar correo electrónico al administrador
Settings,Settings,समायोजन,إعدادات,Ajustes
Web Settings,Web Settings,वेब सेटिंग्स,إعدادات الويب,Configuración web
Basic Settings,Basic Settings,मूल सेटिंग्स,الإعدادات الأساسية,Ajustes básicos
Image Assets,Image Assets,छवि संपत्ति,أصول الصورة,Recursos de imagen
App Settings,App Settings,एप्लिकेशन सेटिंग,إعدادات التطبيقات,Ajustes de Aplicacion
Splash Screen,Splash Screen,स्प्लैश स्क्रीन,شاشة البداية,Pantalla de bienvenida
Onboard Screen,Onboard Screen,ऑनबोर्ड स्क्रीन,شاشة على متن الطائرة,Pantalla integrada
App Urls,App Urls,ऐप यूआरएल,عناوين URL للتطبيق,URL de aplicaciones
Languages,Languages,बोली,اللغات,Idiomas
Verification Center,Verification Center,सत्यापन केंद्र,مركز التحقق,Centro de verificación
Setup Email,Setup Email,सेटअप ईमेल,إعداد البريد الإلكتروني,Configurar correo electrónico
Email Method,Email Method,ईमेल विधि,طريقة البريد الإلكتروني,Método de correo electrónico
Setup Web Content,Setup Web Content,वेब सामग्री सेटअप करें,إعداد محتوى الويب,Configurar contenido web
Opps! User doesn't exists,Opps! User doesn't exists,उफ़! उपयोगकर्ता मौजूद नहीं है,انتبه! المستخدم غير موجود,¡Ups! El usuario no existe
Setup Pages,Setup Pages,पेज सेटअप करें,صفحات الإعداد,Páginas de configuración
Useful Links,Useful Links,उपयोगी कड़ियां,روابط مفيدة,Enlaces útiles
Notification,Notification,अधिसूचना,إشعار,Notificación
Push Notification,Push Notification,सर्वर पुश नोटीफिकेशन,دفع الإخطار,Notificación de inserción
Setup Notification,Setup Notification,सेटअप अधिसूचना,إشعار الإعداد,Notificación de configuración
Send Notification,Send Notification,अधिसूचना भेजें,إرسال الإخطار,Enviar notificación
Bonus,Bonus,बक्शीश,علاوة,Prima
GDPR Cookie,GDPR Cookie,जीडीपीआर कुकी,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,Cookie RGPD
Server Info,Server Info,सर्वर जानकारी,معلومات الخادم,Información del servidor
Clear Cache,Clear Cache,कैश को साफ़ करें,مسح ذاكرة التخزين المؤقت,Limpiar cache
Verification code resend successfully!,Verification code resend successfully!,सत्यापन कोड सफलतापूर्वक पुनः भेजा गया!,تم إعادة إرسال رمز التحقق بنجاح!,¡El código de verificación se reenvía exitosamente!
token,token,टोकन,رمز مميز,simbólico
Verification code sended to your email address,Verification code sended to your email address,सत्यापन कोड आपके ईमेल पते पर भेजा गया,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Código de verificación enviado a su dirección de correo electrónico
Verification Otp is Invalid,Verification Otp is Invalid,सत्यापन ओटीपी अमान्य है,التحقق من Otp غير صالح,La verificación OTP no es válida
OTP successfully verified!,OTP successfully verified!,ओटीपी सफलतापूर्वक सत्यापित!,تم التحقق من كلمة مرور OTP بنجاح!,¡OTP verificada exitosamente!
OTP resend success,OTP resend success,ओटीपी पुनः भेजने में सफलता,تم إعادة إرسال OTP بنجاح,Reenvío OTP exitoso
Password reset success,Password reset success,पासवर्ड रीसेट सफल,نجاح إعادة تعيين كلمة المرور,Restablecimiento de contraseña exitoso
User Successfully Logged In,User Successfully Logged In,उपयोगकर्ता सफलतापूर्वक लॉग इन हुआ,تم تسجيل دخول المستخدم بنجاح,El usuario inició sesión correctamente
User already exists!,User already exists!,उपयोगकर्ता पहले से मौजूद है!,المستخدم موجود اصلا!,¡El usuario ya existe!
